Company,Title,Match Reason,Match Score,Location,City,Posted Category,Posted Text,URL,ATS Type,ID
Datadog,Developer Advocate - Service Management EMEA,Engineering Dept (Community),85,"France, Remote",Remote,Today,Today (0h ago),https://careers.datadoghq.com/detail/8161455/?gh_jid=8161455,greenhouse,cba3700882abdab9
Twilio,Software Engineer,Software Engineering Match,90,Remote - Estonia,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/7647708,greenhouse,1b79a69dbb333dd3
Twilio,"Security Engineer, Incident Response",Engineering Dept (Security),85,Remote - Ireland,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8023560,greenhouse,f07ed99e0f406a37
Twilio,"Security Engineer, Incident Response",Engineering Dept (Security),85,Remote - United Kingdom,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8055481,greenhouse,adf8641a4e1d4d78
Twilio,Machine Learning Engineer,Engineering Dept (Engineering),85,Remote - Ireland,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/7996774,greenhouse,83ea019423ad82ad
Twilio,Machine Learning Engineer,Engineering Dept (Engineering),85,Remote - Spain,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8007455,greenhouse,9aef555d401d5cd4
Twilio,Technical Support Engineer 2,General Tech Match,85,Remote - India,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8079708,greenhouse,2c387aae565a43b9
Twilio,Software Development Engineer (L3),Software Engineering Match,90,Remote - Colombia,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8102950,greenhouse,1e8a8203c95c0f18
Twilio,DevOps Engineer (Observability),Engineering Dept (Engineering),85,Remote - Ireland,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8108771,greenhouse,30b8b8dbed1b4598
Twilio,Technical Support Engineer 2,General Tech Match,85,Remote - Colombia,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8140436,greenhouse,1dba7ba985b8a067
Twilio,Software Development Engineer,Software Engineering Match,90,Remote - Ireland,Remote,Today,Today (1h ago),https://job-boards.greenhouse.io/twilio/jobs/8170597,greenhouse,1a66aa515edd2b1c
Databricks,SAP Functional SME,"Engineering Dept (Integration, Data, Engineering and Applications)",85,"Bengaluru, India",Bangalore,Today,Today (10h ago),https://databricks.com/company/careers/open-positions/job?gh_jid=8688851002,greenhouse,2f7e5a6942fb02da
Coinbase,"Software Engineer, Blockchain Platform Nodes",Platform Engineering Match,88,Remote - USA,Remote,Recent (<48h),2d ago,https://www.coinbase.com/careers/positions/8105437?gh_jid=8105437,greenhouse,250c1a5d2ed3aaaf
Datadog,Developer Advocate - Service Management,Engineering Dept (Community),85,"California, USA, Remote; New York, USA, Remote",Remote,Recent (<48h),2d ago,https://careers.datadoghq.com/detail/8139662/?gh_jid=8139662,greenhouse,eeaf1dc080801108
MongoDB,Application Engineer,Application Engineering Match,88,Bengaluru,Bangalore,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8143980,greenhouse,ec630fc9c79f3b60
MongoDB,Contract Sourcer,Engineering Dept (Early Talent Recruiting),85,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8099122,greenhouse,da7c6a977e96ac8e
MongoDB,Engineer 3 - Business Systems,Systems Engineering Match,86,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8122751,greenhouse,e5b151c1e0e78cfb
MongoDB,Engineer 3 - GTM Tech,General Tech Match,85,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=7943868,greenhouse,96d7340ab1f743eb
MongoDB,Salesforce CPQ engineer 3,General Tech Match,85,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=7779016,greenhouse,8adf301d66349a22
MongoDB,Software Engineer 2,Software Engineering Match,90,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=7922676,greenhouse,0ec0625b8b9902ce
MongoDB,Technical Services Engineer,General Tech Match,85,Bengaluru,Bangalore,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8007613,greenhouse,68160545d93d4d4a
MongoDB,Technical Services Engineer,General Tech Match,85,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8170631,greenhouse,97db05edb5b14be4
MongoDB,Technical Services Engineer,General Tech Match,85,Gurugram,Delhi NCR,Recent (<48h),2d ago,https://www.mongodb.com/careers/job/?gh_jid=8170628,greenhouse,3895ec10647a3598
